"","strain_original","accession","authors","institution","date"
"2345","MpxV/human/USA/WA-UW-104151/2022","OQ503744","Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine","2022-10-XX"
"2346","NY-NYCPHL-000496","OQ469102","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-22"
"2347","9000448","OP536811","Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation","2022-09-XX"
"2348","MPXV_USA_2022_NY004","ON959135","Gigante,C.M., Hughes,S., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Baumgartner,J., Li,Y.","Centers for Disease Control and Prevention, Division of High-Consequence Pathogens and Pathology","2022-05-XX"
"2349","Monkeypox/PT0500/2022","OP555574","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-08-12"
"2350","MPXV/Germany/2022/ON/RKI730","OQ547757","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-07-XX"
"2351","MpxV/human/USA/WA-UW-085088/2022","OP681772","Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine","2022-08-XX"
"2352","NY-NYCPHL-000393","OQ504426","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-08-19"
"2353","NJ-MPXV-023","OP879741","Palmateer,N.C.","New Jersey Department of Health, Public Health and Environmental Laboratories","2022-07-06"
"2354","NJ-MPXV-031","OP879746","Palmateer,N.C.","New Jersey Department of Health, Public Health and Environmental Laboratories","2022-07-09"
"2355","Monkeypox/PT0345/2022","OP414374","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-05-26"
"2356","MPXV/Human/USA/CA-CDPH-MPX000006/2022","OP580154","Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.","CDPH, VRDL","2022-06-07"
"2357","B1221102","OP531893","Bajwa,M.I., Miller,H.","Delaware Public Health Lab, Sequencing/Bioinformatics","2022-07-31"
"2358","MPXV/Human/USA/CA-LACPHL-MA00432/2022","OQ503806","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-09-29"
"2359","MPXV/Germany/2022/RKI098","ON853676","Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","","2022-06-XX"
"2360","MPXV/Germany/2022/RKI189","OP215231","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-08-XX"
"2361","hMpxV/USA/CA-CDPH-1MPX1000122/2022","OQ348869","Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.","CDPH, VRDL","2022-09-01"
"2362","MPXV/Germany/2022/RKI338","OP696841","Brinkmann,A., Kohl,C., Pape,K., Bourquain,D., Thurmer,A., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-07-XX"
"2363","MPXV/Germany/2022/RKI160","ON959151","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Jessen,H., Schaade,L., Nitsche,A.","","2022-07-XX"
"2364","MPXV/Germany/2022/RKI530","OP689683","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-07-XX"
"2365","Monkeypox/PT0256/2022","OP414297","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-06-19"
"2366","Monkeypox virus/Human/USA/CA-LACPHL-MA00259/2022","OP748945","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-10-13"
"2367","MPXV/Human/USA/CA-LACPHL-MA00326/2022","OP890554","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-11-09"
"2368","Monkeypox/PT0575/2022","OP555646","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-09-06"
"2369","Monkeypox/PT0184/2022","OP324499","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-06-28"
"2370","Monkeypox/PT0506/2022","OP555579","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-08-16"
"2371","hMpxV/USA/NY-URMC-2207A102/2022","OP588946","Cameron,A., Howard,M., Maki,J., Connelly,S., DeLary,K., Hardy,D.","University of Rochester Medical Center, Pathology and Laboratory Medicine","2022-07-XX"
"2372","hMpxV/USA/CACDPH1MPX1000160/2022","OQ547887","Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.","CDPH, VRDL","2022-06-24"
"2373","ANT-LDSP-ANT-MPX-24593-O","OP642377","Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia","2022-09-07"
"2374","MpxV/human/USA/WA-UW-071966/2022","OP169344","Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine","2022-07-XX"
"2375","MPXV/Human/USA/UT-UPHL-82200120/2022","OP743364","Iverson,T., Oakeson,K.F., Young,E.L., Wagner,J., Hergert,J.","Utah Public Health Laboratory","2022-07-26"
"2376","MPXV_USA_2022_IL0053","OP378706","Gigante,C.M., Ghinai,I., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Kerins,J., Li,Y.","CDC, DHCPP-PRB","2022-06-XX"
"2377","hMpxV/USA/CA-CDPH-1MPX1000115/2022","OQ348863","Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.","CDPH, VRDL","2022-08-09"
"2378","MPXV/Germany/2022/RKI344","OP484696","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-09-XX"
"2379","MpxV/human/USA/WA-UW-089183/2022","OP257265","Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine","2022-08-XX"
"2380","MPX/Human/USA/CA-LACPHL-MA00240/2022","OP722499","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-07-18"
"2381","NY-NYCPHL-000932","OQ468693","Amin,H.S., Clabby,T.T., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-09"
"2382","hMpxV/USA/CACDPH1MPX1000175/2022","OQ547883","Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.","CDPH, VRDL","2023-01-02"
"2383","MPXV_USA_2022_MA0142","OP890493","Doucette,M., Gagne,L., Smole,S.C.","Massachusetts State Public Health Laboratory, DPH","2022-XX-XX"
"2384","MPXV_USA_2022_NY0040","OQ427115","Gigante,C., Ruiz,V., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Wang,J., Li,Y.","CDC, DHCPP-PRB","2022-10-XX"
"2385","Monkeypox/PT0588/2022","OP555656","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-08-16"
"2386","9000394","OP536772","Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation","2022-08-XX"
"2387","MPXV/Germany/2022/RKI524","OP689677","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-06-XX"
"2388","MPX_7f1tnH_9000280","OP415242","Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation","2022-08-XX"
"2389","MPXV_UK_2022_1","ON619835","Groves,N., Osman,K.L., Lewandowski,K.S., Pullan,S.T., Carter,D.P., Crook,J.M., Myers,R., Vipond,R., Chand,M.","Research & Evaluation, UKHSA, UK","2022-05-XX"
"2390","Monkeypox/PT0451/2022","OP555532","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-08-04"
"2391","NY-NYCPHL-000571","OQ419039","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-26"
"2392","MPXV/Human/USA/CA-LACPHL-MA00315/2022","OP890572","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-11-09"
"2393","NY-NYCPHL-000628","OQ468613","Amin,H.S., Clabby,T.T., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-09-30"
"2394","MN-MDH-MPXV_0007","OP597781","Plumb,M.R.","Minnesota Department of Health","2022-07-05"
"2395","NY-NYCPHL-001123","OQ468588","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-05"
"2396","MPX_jTHLhj_9000307","OP415256","Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation","2022-08-XX"
"2397","ANT-LDSP-ANT-MPX-24913-O","OP642386","Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia","2022-09-09"
"2398","NY-NYCPHL-000143","OQ468945","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-06-27"
"2399","MPXV22/human/USA-NE-127","OP431825","Tegomoh,B., Cross,S.T., Chapman,R.C., Bernhard,K., McCutchen,E.L., Fauver,J.R., Pratt,C.B., Warden,D.E., Iwen,P.C., Donahue,M., Wiley,M.R.","University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health","2022-08-07"
"2400","Monkeypox/PT0257/2022","OP414298","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-06-18"
"2401","MPXV/Germany/2022/RKI06","ON682270","Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany","2022-05-XX"
"2402","NY-NYCPHL-000225","OQ469175","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-01"
"2403","MPXV_USA_2022_FL0011","OP225967","Gigante,C.M., Lee,P., Seabolt,M.H., Zhao,H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Mendoza,R., Li,Y.","CDC, DHCPP-PRB","2022-06-XX"
"2404","Monkeypox/PT0293/2022","OP414328","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-06-14"
"2405","NY-NYCPHL-000064","OQ468923","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-06-10"
"2406","NY-NYCPHL-000633","OQ468722","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-10-11"
"2407","MPXV_USA_2022_UT002","ON676706","Gigante,C.M., Atkinson,A., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Murray,J., Li,Y.","Division of High-Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA","2022-05-XX"
"2408","VAC_INS_MPX_1052_E","OP837471","Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M.","Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica","2022-10-25"
"2409","MPXV_USA_2022_MA0047","OP890405","Doucette,M., Gagne,L., Smole,S.C.","Massachusetts State Public Health Laboratory, DPH","2022-XX-XX"
"2410","NY-NYCPHL-000224","OQ469174","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-07-05"
"2411","Monkeypox/PT0009/2022","ON585035","Isidro,J., Borges,V., Pinto,M., Ferreira,R., Sobral,D., Nunes,A., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Pelerito,A., Cordeiro,R., Gomes,J.P.","Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal","2022-05-15"
"2412","hMPX/USA/CA-LACPHL-MA00165/2022","OP580598","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-08-01"
"2413","MN-MDH-MPXV_0022","OP597796","Plumb,M.R.","Minnesota Department of Health","2022-07-18"
"2414","NY-NYCPHL-000379","OQ468971","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-08-16"
"2415","MPXV-USA-IL-IDPH-001","OP536662","Gagnon,K.T.","Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry","2022-07-23"
"2416","MPXV_USA_2022_NY0029","OP687939","Gigante,C.M., Ruiz,V., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Morrison,S.S., Seabolt,M.H., Weigand,M.R., Knipe,K., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Wang,J., Li,Y.","CDC, DHCPP-PRB","2022-07-XX"
"2417","ANT-LDSP-ANT-MPX-24594-L","OP642378","Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia","2022-09-07"
"2418","MpxV/human/CAN/UN-NML-3165/2022","ON880531","Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.","National Microbiology Laboratory, Public Health Agency of Canada","2022-05-29"
"2419","MPXV22/human/USA-OK-81","OP650029","Chapman,R.C., Bernhard,K., McCutchen,E.L., Fauver,J.R., O'Dell,J.X., Mannell,M., Wiley,M.R., Cross,S.T.","University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health","2022-07-26"
"2420","MPXV_UK_2022_9000187","OP205132","Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation","2022-06-28"
"2421","MPXV/Germany/2022/RKI139","ON959152","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-07-XX"
"2422","MPXV/Germany/2022/RKI242","OP215227","Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Jessen,H., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-08-XX"
"2423","MPX/UZ_REGA_1/Belgium/2022","ON622712","Vanmechelen,B., Wawina-Bokalanga,T., Logist,A.-S., Sinnesael,R., Ysebaert,L., Verlinden,J., Bloemen,M., Maes,P.","Microbiology, Immunology & Transplantation, KU Leuven, Rega Institute, Belgium","2022-05-19"
"2424","NY-NYCPHL-000161","OQ469159","Clabby,T.T., Amin,H.S., Wang,J.C., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-06-28"
"2425","Monkeypox/PT0228/2022","OP324537","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-06-22"
"2426","Monkeypox/PT0375/2022","OP555471","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-07-06"
"2427","MPXV/Human/USA/CA-LACPHL-MA00359/2022","OP920697","Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-11-05"
"2428","hMPX/Human/USA/CA-LACPHL-MA00046/2022","OP440552","Hemarajata,P., Green,N.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-07-25"
"2429","Monkeypox virus/Human/USA/CA-LACPHL-MA00364/2022","OQ330984","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-10-11"
"2430","ANT-LDSP-ANT-MPX-25390E","OP642416","Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia","2022-09-12"
"2431","MPXV/Germany/2022/ON/RKI727","OQ547754","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-05-XX"
"2432","MPXV_USA_2022_NY0023","OP303794","Gigante,C.M., Hughes,S., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M.S., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Baumgartner,J., Li,Y.","CDC, DHCPP-PRB","2022-06-XX"
"2433","Monkeypox virus/Human/USA/CA-LACPHL-MA00383/2022","OQ330990","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-10-19"
"2434","MPXV/Human/USA/CA-LACPHL-MA00427/2022","OQ503801","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-09-15"
"2435","NY-NYCPHL-000330","OQ468869","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-08-08"
"2436","MPXV/Germany/2022/RKI390","OP523992","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-09-XX"
"2437","Monkeypox/PT0473/2022","OP555552","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-08-05"
"2438","hMpxV/USA/CA-CDPH-1000070/2022","OQ121024","Probert,W., Espinosa,A., Kath,C., Haw,M., Bell,J., Hacker,J.","CDPH, VRDL","2022-07-11"
"2439","NY-NYCPHL-000432","OQ468873","Wang,J.C., Amin,H.S., Clabby,T.T., Taki,F., Su,M., Rahat,A., De La Cruz,N., Olsen,A., Thi,C., Silver,S., Akther,S., Chowdhury,M., Omoregie,E., Hughes,S.","NYC Department of Health and Mental Hygiene, Public Health Laboratory","2022-09-16"
"2440","Monkeypox/PT0220/2022","OP324530","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-06-23"
"2441","MPXV/Germany/2022/ON/RKI419","OP588282","Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses","2022-09-XX"
"2442","Monkeypox/PT0132/2022","OP324455","Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases","2022-07-08"
"2443","MPXV_UK_2022_9000108","OP205096","Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation","2022-06-14"
"2444","Monkeypox virus/Human/USA/CA-LACPHL-MA00268/2022","OP748954","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-09-30"
"2445","MPXV_USA_2022_MA0057","OP890415","Doucette,M., Gagne,L., Smole,S.C.","Massachusetts State Public Health Laboratory, DPH","2022-XX-XX"
"2446","MPXV/Human/USA/CA-LACPHL-MA00416/2022","OQ503821","Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health","2022-12-12"
