strain_original,accession,authors,institution,date
MPXV_UK_2022_9000092,OP205083,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-05-25
MpxV/human/USA/WA-UW-080043/2022,OP310045,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
MPXV/Germany/2022/RKI127,ON929082,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.",,2022-07-XX
MPXV/ITM_pt_09/Belgium/2-Jun-2022,OP144217,"De Baetselier,I., Van Dijck,C., Kenyon,C., Coppens,J., Smet,H., de Block,T., Coppens,S., Vanroye,F., Bugert,J., Girl,P., Liesenborghs,L., Selhorst,P., Arien,K., den Bossche,D.V., Florence,E., Rezende,A.M., Vercauteren,K., Esbroeck,M.V., Bracke,S., Brosius,I., Soentjens,P.","Institute of Tropica Medicine, Department of Clinical Sciences",2022-06-02
MPXV_USA_2022_OH0003,OP687942,"Gigante,C.M., Lee,B., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Morrison,S.S., Seabolt,M.H., Weigand,M.R., Knipe,K., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Salehi,E., Li,Y.","CDC, DHCPP-PRB",2022-08-XX
Monkeypox/PT0354/2022,OP414381,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-05-23
MPXV_USA_2022_MD0006,OP881948,"Gigante,C., Myers,R., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Blythe,D., Li,Y.","CDC, DHCPP-PRB",2022-08-XX
MPXV/Human/USA/CA-LACPHL-MA00336/2022,OP890564,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-11-09
Monkeypox/PT0032/2022,ON843168,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.",,2022-05-26
MPXV/Germany/2022/RKI022,ON694333,"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A.","Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany",2022-05-XX
MPXV/Human/USA/CA-LACPHL-MA00319/2022,OP890576,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-11-09
MPXV_UK_2022_9000101,OP205089,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-06-09
VAC_INS_MPX_0962_C,OP819955,"Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M.","Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica",2022-10-13
ANT-LDSP-ANT-MPX-28299E,OQ261704,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia",2022-10-13
MpxV/human/USA/WA-UW-089807/2022,OP628486,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
MPX/Human/USA/CA-LACPHL-MA00147/2022,OP539932,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-13
MPXV_UK_2022_9000093,OP205084,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-05-30
INMI-Pt2,ON745215,"Giombini,E., Gruber,C.E.M., Rueca,M., Gramigna,G., VIta,S., Carletti,F., D'Abramo,A., Lapa,D., Puro,V., Fabeni,L., Butera,O., Colavita,F., Meschi,S., Matusali,G., Specchiarello,E., Vairo,F., Vaia,F., Garbuglia,A.R., Nicastri,E., Antinori,A., GIrardi,E., Maggi,F.","INMI Lazzaro Spallanzani IRCCS, Laboratory of Virology",2022-05-19
MPXV/Germany/2022/RKI030,ON755236,"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.",,2022-06-XX
MpxV/human/USA/WA-UW-082483/2022,OP628446,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
MPXV/Human/USA/CA-LACPHL-MA00354/2022,OP920692,"Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-16
MPXV/Germany/2022/RKI177,OP018602,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-07-XX
MPXV/Human/USA/CA-CDPH-MPX000020/2022,OP587249,"Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.","CDPH, VRDL",2022-07-12
Monkeypox/PT0342/2022,OP414371,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-05-26
MPXV22/human/USA-NE-111,OP314959,"Tegomoh,B., Cross,S.T., Chapman,R.C., Bernhard,K., McCutchen,E.L., Fauver,J.R., Pratt,C.B., Warden,D.E., Iwen,P.C., Donahue,M., Wiley,M.R.","University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health",2022-08-03
Monkeypox/PT0037/2022,ON843164,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.",,2022-05-18
MpxV/human/USA/WA-UW-089051/2022,OP743959,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
MPXV-1047,OQ172215,"Zeggagh,J., Ferraris,O., Salmona,M., Tarantola,A., Molina,J.M., Delaugerre,C.","Hopital Saint Louis, Paris",2022-06-07
MPX/Human/USA/CA-LACPHL-MA00130/2022,OP539915,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-09
MPXV/Germany/2022/RKI033,ON755239,"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.",,2022-06-XX
MPX/Human/USA/CA-LACPHL-MA00109/2022,OP539894,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-08-25
hMPX/USA/CA-LACPHL-MA00163/2022,OP580596,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-22
MPXV_USA_2022_NC0009,OP687936,"Gigante,C.M., Pettit,D., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Morrison,S.S., Seabolt,M.H., Weigand,M.R., Knipe,K., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Deutsch-Feldman,M., Li,Y.","CDC, DHCPP-PRB",2022-07-XX
MPXV22/human/USA-NE-176,OP431827,"Tegomoh,B., Cross,S.T., Chapman,R.C., Bernhard,K., McCutchen,E.L., Fauver,J.R., Pratt,C.B., Warden,D.E., Iwen,P.C., Donahue,M., Wiley,M.R.","University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health",2022-08-15
hMPX/Human/USA/CA-LACPHL-MA00079/2022,OP442540,"Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-08-05
MPXV_USA_2022_MI0003,OP687933,"Gigante,C.M., Johnson,S., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Morrison,S.S., Seabolt,M.H., Weigand,M.R., Knipe,K., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Riner,D., Li,Y.","CDC, DHCPP-PRB",2022-08-XX
DC_INS_MPX_1037_L,OP837480,"Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M.","Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica",2022-09-20
MPXV_USA_2022_PA0013,OQ054234,"Gigante,C., Xia,D., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Plipat,N., Li,Y.","CDC, DHCPP-PRB",2022-09-XX
MpxV/human/USA/WA-UW-081469/2022,OP442944,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
MPXV/Human/USA/CA-LACPHL-MA00335/2022,OP890563,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-11-09
hMPXV-IHU00005,OP382482,"Colson,P.","IHU - Mediterranee Infection, MEPHI",2022-07-04
MPXV/Germany/2022/ON/RKI669,OQ274888,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-05-XX
Monkeypox virus/Human/USA/CA-LACPHL-MA00280/2022,OP748966,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-17
MPXV/ITM_pt_05/Belgium/30-May-2022,OP144215,"De Baetselier,I., Van Dijck,C., Kenyon,C., Coppens,J., Smet,H., de Block,T., Coppens,S., Vanroye,F., Bugert,J., Girl,P., Liesenborghs,L., Selhorst,P., Arien,K., den Bossche,D.V., Florence,E., Rezende,A.M., Vercauteren,K., Esbroeck,M.V., Bracke,S., Brosius,I., Soentjens,P.","Institute of Tropica Medicine, Department of Clinical Sciences",2022-05-30
MpxV/human/CAN/UN-NML-4150/2022,OP279046,"Duggan,A., Hole,D., Yadav,C., Knox,N., Tyler,A., Haidl,E., Chapel,M., Domselaar,G.V., Graham,M., Audet,J., Fernando,L., Antonation,K., Safronetz,D., Hagan,M., Peters,G., Go,A., Laminman,V., Kaplen,B., Leung,A., Griffiths,E., Jolly,G., Eshaghi,A., Gubbay,J.B., Hasso,M., Marchand-Austin,A., Olsha,R., Patel,S.N.","National Microbiology Laboratory, Public Health Agency of Canada",2022-07-05
MPX/Human/USA/CA-LACPHL-MA00237/2022,OP722496,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-07-20
hMPX/Human/USA/CA-LACPHL-MA00007/2022,OP440571,"Hemarajata,P., Green,N.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-07-16
MPXV_USA_2022_DE0001,OP881944,"Gigante,C., Moreno-Gorrin,C., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Miller,H., Li,Y.","CDC, DHCPP-PRB",2022-09-XX
MPXV_USA_2022_NY0493,OP526855,"Gigante,C.M., Plumb,M., Ruprecht,A., Zhao,H., Wicker,V., Wilkins,K., Matheny,A., Khan,T., Davidson,W., Sheth,M., Burgin,A., Burroughs,M., Padilla,J., Lee,J.S., Batra,D., Hetrick,E.E., Howard,D.T., Garfin,J., Tate,L., Hubsmith,S.J., Mendoza,R.M., Stanek,D., Gillani,S., Lee,M., Mangla,A., Blythe,D., SierraPatev,S., Carpenter-Azevedo,K., Huard,R.C., Gallagher,G., Hall,J., Ash,S., Kovar,L., Seabolt,M.H., Weigand,M.R., Damon,I., Satheshkumar,P.S., McCollum,A.M., Hutson,C.L., Wang,X., Li,Y., Ruiz,V., Lee,J., McCollum,A., Hutson,C., Rao,A., Wang,J.","CDC, DHCPP-PRB",2022-08-XX
MpxV/human/USA/WA-UW-084693/2022,OP628460,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
MN-MDH-MPXV_0001,OP597775,"Plumb,M.R.",Minnesota Department of Health,2022-06-24
PrEV_case_1,OP727821,"Berens-Riha,N., De Block,T., Rutgers,J., Van Gestel,L., Hens,M., Kenyon,C., Soentjens,P., Van Griensven,J., Brosius,I., Arien,K., Van Esbroeck,M., Rezende,A.M., Vercauteren,K.","Institute of Tropica Medicine, Department of Clinical Sciences",2022-08-27
MP03CHUAC,OP120938,"Aja-Macaya,P., Rumbo-Feal,S., Poza,M., Canizares,A., Vallejo,J.A., Bou,G.","Biomedical research institute (INIBIC), Microbiology",2022-06-XX
Monkeypox/PT0022/2022,ON649722,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.","Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal",2022-05-19
MPXV/Germany/2022/RKI478,OP626116,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-07-XX
MN-MDH-MPXV_0013,OP597787,"Plumb,M.R.",Minnesota Department of Health,2022-07-14
MpxV/human/USA/WA-UW-099493/2022,OP743983,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-09-XX
MPXV_USA_2022_NC0011,OQ054226,"Gigante,C., Pettit,D., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Deutsch-Feldman,M., Li,Y.","CDC, DHCPP-PRB",2022-09-XX
MPXV/Germany/2022/ON/RKI663,OQ274882,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-05-XX
MPXV/Germany/2022/RKI230,OP215257,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-08-XX
Monkeypox virus/Human/USA/CA-LACPHL-MA00389/2022,OQ330996,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-12-12
DC_INS_MPX-1119-H,OQ197862,"Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Rosales,A., Mercado-Reyes,M.M.","Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica",2022-10-24
DC_INS_MPX_0998_L,OP837477,"Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M.","Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica",2022-09-20
hMPX/Human/USA/CA-LACPHL-MA00083/2022,OP442550,"Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-07-13
MPX_K1dQNt_9000225,OP415201,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-07-XX
Monkeypox virus/Human/USA/CA-LACPHL-MA00385/2022,OQ330992,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-21
hMpxV/Human/USA/IL-RIPHL-MPXV_10018/2022,OQ121962,"Barbian,H., Green,S., Kunstman,K., Araujo Perez,F., Bobrovska,S., Hayden,M., Moore,N.","Rush University Meical Center, Regional Innovative Public Health Laboratory (RIPHL)",2022-09-25
MPXV_USA_2022_FL0018,OP303781,"Gigante,C.M., Lee,P., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M.S., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Mendoza,R., Li,Y.","CDC, DHCPP-PRB",2022-06-XX
MPXV/Human/USA/CA-LACPHL-MA00296/2022,OP890530,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-04
MPXV/Germany/2022/RKI407,OP524009,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-09-XX
ID6821,OP838893,"Viscardi,M., Cozzolino,L., De Martinis,C., Cardillo,L., Fusco,G.","Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health",2022-06-21
MpxV/human/CAN/UN-NML-4144/2022,OP279045,"Duggan,A., Hole,D., Yadav,C., Knox,N., Tyler,A., Haidl,E., Chapel,M., Domselaar,G.V., Graham,M., Audet,J., Fernando,L., Antonation,K., Safronetz,D., Hagan,M., Peters,G., Go,A., Laminman,V., Kaplen,B., Leung,A., Griffiths,E., Jolly,G., Eshaghi,A., Gubbay,J.B., Hasso,M., Marchand-Austin,A., Olsha,R., Patel,S.N.","National Microbiology Laboratory, Public Health Agency of Canada",2022-07-04
MpxV/human/USA/WA-UW-081714/2022,OP392538,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-08-XX
Monkeypox/PT0002/2022,ON585030,"Isidro,J., Borges,V., Pinto,M., Ferreira,R., Sobral,D., Nunes,A., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Pelerito,A., Cordeiro,R., Gomes,J.P.","Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal",2022-05-15
Monkeypox/PT0025/2022,ON649712,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.","Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal",2022-05-19
hMPXV-IHU00016,OP382493,"Colson,P.","IHU - Mediterranee Infection, MEPHI",2022-07-22
MPXV_UK_2022_9000146,OP205109,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-06-13
hMpxV/UK/LMO-032a/2022,OP390197,"McHugh,M.P., Maloney,D., Parker,A., Mathers,K., Dewar,R., Kenicer,J., Cotton,S., Wild,J., Templeton,K.E.","Royal Infirmary of Edinburgh, Viral Genotyping Reference Laboratory",2022-07-11
MPX_GZUtx9_9000301,OP415255,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-08-XX
MPXV/Human/USA/CA-LACPHL-MA00329/2022,OP890557,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-11-09
MPXV/Germany/2022/RKI047,ON755253,"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.",,2022-06-XX
MPX/Human/USA/CA-LACPHL-MA00137/2022,OP539922,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-08-09
MpxV/human/USA/WA-UW-093570/2022,OP628490,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-09-XX
MpxV/human/USA/WA-UW-092889/2022,OP681774,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",2022-09-XX
MPX/Human/USA/CA-LACPHL-MA00191/2022,OP615264,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-07-15
MPXV_USA_2022_IL0024,OP225964,"Gigante,C.M., Ghinai,I., Seabolt,M.H., Zhao,H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Kerins,J., Li,Y.","CDC, DHCPP-PRB",2022-06-XX
MN-MDH-MPXV_0019,OP597793,"Plumb,M.R.",Minnesota Department of Health,2022-07-20
Monkeypox/PT0572/2022,OP555643,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-09-05
VAC_INS_MPX_0960_L,OP819953,"Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M.","Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica",2022-10-15
Monkeypox/PT0215/2022,OP324525,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-06-24
MpxV/human/USA/Unknown-UW-077794/2022,OP055802,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",2022-07-XX
MpxV/human/CAN/UN-NML-3817/2022,OP062229,"Duggan,A., Hole,D., Yadav,C., Knox,N., Tyler,A., Haidl,E., Chapel,M., Domselaar,G.V., Graham,M., Audet,J., Fernando,L., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Antonation,K., Jolly,G., Griffiths,E., Charest,H., Levade,I., Fafard,J.","National Microbiology Laboratory, Public Health Agency of Canada",2022-06-16
hMPXV-IHU00015,OP382492,"Colson,P.","IHU - Mediterranee Infection, MEPHI",2022-07-22
MPX/Human/USA/CA-LACPHL-MA00134/2022,OP539919,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-09
MPXV/Germany/2022/RKI024,ON694336,"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany",2022-05-XX
BOL-UNIMOL-MPX-293264-L,OP623593,"Loyola,S., Fernandez-Ruiz,M., Torres-Pacheco,J., Franco-Munoz,C., Laiton-Donato,K., Ruiz-Moreno,H., Mercado-Reyes,M., Gomez-Camargo,D.","Universidad de Cartagena, Laboratorio de Investigacion Molecular (UNIMOL)",2022-09-17
MPXV/Human/USA/CA-LACPHL-MA00317/2022,OP890574,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-11-09
Monkeypox/PT0337/2022,OP414366,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-05-26
MPXV22/human/USA-OK-104,OP484340,"Chapman,R.C., Bernhard,K., McCutchen,E.L., Fauver,J.R., O'Dell,J.X., Mannell,M., Wiley,M.R., Cross,S.T.","University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health",2022-08-02
B1221120,OP935997,"Bajwa,M.I., Miller,H.","Delaware Public Health Lab, Sequencing/Bioinformatics",2022-11-09
MPXV/Germany/2022/RKI012,ON694341,"Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany",2022-05-XX
Monkeypox virus/Human/USA/CA-LACPHL-MA00265/2022,OP748951,"Hemarajata,P., Green,N.M., Garrigues,J.M.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-09-07
MPXV/Human/USA/CA-LACPHL-MA00355/2022,OP920693,"Hemarajata,P., Green,N.M., Garrigues,J.","Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health",2022-10-16
LBMB-UTP_MP-003_TOL,OQ148462,"Lopez,P.A., Orjuela,M., Tabares,F.A., Anacona,J.D., Zuluaga-Velez,A., Sepulveda-Arias,J.","Universidad Tecnologica de Pereira, Laboratorio de Biologia Molecular y Biotecnologia / Facultad de ciencias de la salud",2022-09-17
Monkeypox/PT0338/2022,OP414367,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-05-26
VAC_INS_MPX_0958_L,OP819952,"Laiton-Donato,K.D., Franco,C.E., Alvarez-Diaz,D.A., Ruiz-Moreno,H.A., Prada,D.A., Martinez,D., Mercado-Reyes,M.M.","Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica",2022-10-13
