	strain	accession	genbank_accession_rev	strain_original	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	authors	institution	region_coarse
284	OP555585	OP555585	OP555585.1	Monkeypox/PT0514/2022	2022-08-16	Europe	Portugal			Homo sapiens	2022-09-30		Isidro et al		IIb	hMPXV-1	B.1.3	0.9743267295103164	3453.0	593.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
285	OP555512	OP555512	OP555512.1	Monkeypox/PT0424/2022	2022-08-01	Europe	Portugal			Homo sapiens	2022-09-30		Isidro et al		IIb	hMPXV-1	B.1	0.9321785516888176	12489.0	573.0	0.0	mediocre	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
286	OP555657	OP555657	OP555657.1	Monkeypox/PT0589/2022	2022-08-24	Europe	Portugal			Homo sapiens	2022-09-30		Isidro et al		IIb	hMPXV-1	B.1	0.9391711331632938	11242.0	576.0	0.0	mediocre	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
287	OP555553	OP555553	OP555553.1	Monkeypox/PT0474/2022	2022-08-08	Europe	Portugal			Homo sapiens	2022-09-30		Isidro et al		IIb	hMPXV-1	B.1.1	0.9100903102799568	16879.0	561.0	0.0	mediocre	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
288	OP555530	OP555530	OP555530.1	Monkeypox/PT0449/2022	2022-08-03	Europe	Portugal			Homo sapiens	2022-09-30		Isidro et al		IIb	hMPXV-1	B.1	0.9707467711919842	5001.0	596.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
289	OP555595	OP555595	OP555595.1	Monkeypox/PT0524/2022	2022-08-18	Europe	Portugal			Homo sapiens	2022-09-30		Isidro et al		IIb	hMPXV-1	B.1.3	0.9729373405879042	3727.0	594.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
290	OP245306	OP245306	OP245306.1	MPX/PT0049/2022	2022-08-01	Europe	Portugal			Homo sapiens	2022-08-17		Isidro et al		IIb	hMPXV-1	B.1	0.9485317607208597	9162.0	580.0	0.0	mediocre	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
291	OP555557	OP555557	OP555557.1	Monkeypox/PT0478/2022	2022-08-08	Europe	Portugal			Homo sapiens	2022-09-30		Isidro et al		IIb	hMPXV-1	B.1.2	0.9842806362792772	1496.0	598.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
292	OP555605	OP555605	OP555605.1	Monkeypox/PT0534/2022	2022-08-23	Europe	Portugal			Homo sapiens	2022-09-30		Isidro et al		IIb	hMPXV-1	B.1	0.9880583543347412	769.0	599.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
293	OP555584	OP555584	OP555584.1	Monkeypox/PT0512/2022	2022-08-16	Europe	Portugal			Homo sapiens	2022-09-30		Isidro et al		IIb	hMPXV-1	B.1	0.9887631903209284	1374.0	604.0	0.0	good	good	good	good	good	OPG047:210-483	False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
294	OP555520	OP555520	OP555520.1	Monkeypox/PT0435/2022	2022-08-02	Europe	Portugal			Homo sapiens	2022-09-30		Isidro et al		IIb	hMPXV-1	B.1	0.9642511244415822	6140.0	592.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
295	OP555536	OP555536	OP555536.1	Monkeypox/PT0455/2022	2022-08-04	Europe	Portugal			Homo sapiens	2022-09-30		Isidro et al		IIb	hMPXV-1	B.1	0.9887327657459852	1030.0	597.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
296	OP555613	OP555613	OP555613.1	Monkeypox/PT0542/2022	2022-08-23	Europe	Portugal			Homo sapiens	2022-09-30		Isidro et al		IIb	hMPXV-1	B.1	0.983540304955656	1636.0	599.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
297	OP555656	OP555656	OP555656.1	Monkeypox/PT0588/2022	2022-08-16	Europe	Portugal			Homo sapiens	2022-09-30		Isidro et al		IIb	hMPXV-1	B.1	0.907701981146905	17370.0	559.0	0.0	mediocre	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
298	OP324465	OP324465	OP324465.1	Monkeypox/PT0148/2022	2022-07-07	Europe	Portugal			Homo sapiens	2022-08-29		Isidro et al		IIb	hMPXV-1	B.1	0.9684750695962152	4607.0	588.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
299	OP555494	OP555494	OP555494.1	Monkeypox/PT0398/2022	2022-07-15	Europe	Portugal			Homo sapiens	2022-09-30		Isidro et al		IIb	hMPXV-1	B.1	0.985015896840408	2115.0	598.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
300	OP245353	OP245353	OP245353.1	MPX/PT0120/2022	2022-07-13	Europe	Portugal			Homo sapiens	2022-08-17		Isidro et al		IIb	hMPXV-1	B.1	0.9528013427379076	8454.0	580.0	0.0	mediocre	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
301	OP324466	OP324466	OP324466.1	Monkeypox/PT0149/2022	2022-07-06	Europe	Portugal			Homo sapiens	2022-08-29		Isidro et al		IIb	hMPXV-1	B.1	0.9804623521238888	2261.0	591.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
302	OP555476	OP555476	OP555476.1	Monkeypox/PT0380/2022	2022-07-13	Europe	Portugal			Homo sapiens	2022-09-30		Isidro et al		IIb	hMPXV-1	B.1.7	0.9761369917194448	3950.0	602.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
303	OP324459	OP324459	OP324459.1	Monkeypox/PT0136/2022	2022-07-10	Europe	Portugal			Homo sapiens	2022-08-29		Isidro et al		IIb	hMPXV-1	B.1	0.9798842851999656	2943.0	597.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
304	OP245343	OP245343	OP245343.1	MPX/PT0109/2022	2022-07-18	Europe	Portugal			Homo sapiens	2022-08-17		Isidro et al		IIb	hMPXV-1	B.1	0.9886769873585892	1409.0	599.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
305	OP324460	OP324460	OP324460.1	Monkeypox/PT0139/2022	2022-07-11	Europe	Portugal			Homo sapiens	2022-08-29		Isidro et al		IIb	hMPXV-1	B.1	0.9746208337347688	4223.0	595.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
306	OP324453	OP324453	OP324453.2	Monkeypox/PT0129/2022	2022-07-12	Europe	Portugal			Homo sapiens	2022-08-29		Isidro et al		IIb	hMPXV-1	B.1	0.980325441536644	2694.0	594.0	0.0	good	good	good	good	good	OPG023:526-661	False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
307	OP245321	OP245321	OP245321.1	MPX/PT0067/2022	2022-07-26	Europe	Portugal			Homo sapiens	2022-08-17		Isidro et al		IIb	hMPXV-1	B.1.1	0.9614267097343429	6673.0	590.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
308	OP555488	OP555488	OP555488.1	Monkeypox/PT0392/2022	2022-07-13	Europe	Portugal			Homo sapiens	2022-09-30		Isidro et al		IIb	hMPXV-1	B.1	0.9601488775867228	6249.0	592.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
309	OP245336	OP245336	OP245336.1	MPX/PT0085/2022	2022-07-21	Europe	Portugal			Homo sapiens	2022-08-17		Isidro et al		IIb	hMPXV-1	B.1	0.9477610048222952	9446.0	574.0	0.0	mediocre	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
310	OP555469	OP555469	OP555469.1	Monkeypox/PT0373/2022	2022-07-05	Europe	Portugal			Homo sapiens	2022-09-30		Isidro et al		IIb	hMPXV-1	B.1	0.9666140997621812	5888.0	595.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
311	OP324486	OP324486	OP324486.1	Monkeypox/PT0171/2022	2022-07-02	Europe	Portugal			Homo sapiens	2022-08-29		Isidro et al		IIb	hMPXV-1	B.1	0.9791895907387594	2494.0	593.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
312	OP555513	OP555513	OP555513.1	Monkeypox/PT0426/2022	2022-07-31	Europe	Portugal			Homo sapiens	2022-09-30		Isidro et al		IIb	hMPXV-1	B.1	0.9571520569548044	7660.0	585.0	0.0	mediocre	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Southern Europe
313	OP310054	OP310054	OP310054.1	MpxV/human/USA/WA-UW-088213/2022	2022-08-XX	North America	USA	Washington		Homo sapiens	2022-08-26	SRR21236132	Sereewit et al		IIb	hMPXV-1	B.1.1	1.0	0.0	613.0	0.0	good	good	good	good	good		False	Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	UW Virology, Laboratory Medicine	North America
314	OP881948	OP881948	OP881948.1	MPXV_USA_2022_MD0006	2022-08-XX	North America	USA	Maryland		Homo sapiens	2022-11-23	SRR22383418	Gigante et al		IIb	hMPXV-1	B.1.7	0.9997920987378872	41.0	610.0	0.0	good	good	good	good	good		False	Gigante,C., Myers,R., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Weigand,M., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Blythe,D., Li,Y.	CDC, DHCPP-PRB	North America
315	OP820455	OP820455	OP820455.1	hMpxV/Human/USA/IL-RIPHL-MPXV_10006/2022	2022-08-08	North America	USA	Illinois	Cook County IL	Homo sapiens	2022-11-14		Barbian et al		IIb	hMPXV-1	B.1.13	0.9959433900075554	108.0	610.0	0.0	good	good	good	good	good		False	Barbian,H., Green,S., Kunstman,K., Araujo Perez,F., Bobrovska,S., Hayden,M., Moore,N.	Rush University Meical Center, Regional Innovative Public Health Laboratory (RIPHL)	North America
316	OP257261	OP257261	OP257261.1	MpxV/human/USA/WA-UW-084325/2022	2022-08-XX	North America	USA	Washington		Homo sapiens	2022-08-19	SRR21236083	Sereewit et al		IIb	hMPXV-1	B.1	1.0	0.0	608.0	0.0	good	good	good	good	good		False	Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	UW Virology, Laboratory Medicine	North America
317	OP580598	OP580598	OP580598.1	hMPX/USA/CA-LACPHL-MA00165/2022	2022-08-01	North America	USA			Homo sapiens	2022-10-04		Hemarajata et al		IIb	hMPXV-1	B.1	0.9404388237859328	10196.0	556.0	0.0	mediocre	good	good	good	good		False	Hemarajata,P., Green,N.M., Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	North America
318	OP392540	OP392540	OP392540.1	MpxV/human/USA/WA-UW-082770/2022	2022-08-XX	North America	USA	Washington		Homo sapiens	2022-09-08	SRR21524969	Sereewit et al		IIb	hMPXV-1	B.1.3	1.0	0.0	609.0	0.0	good	good	good	good	good		False	Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	UW Virology, Laboratory Medicine	North America
319	OP310062	OP310062	OP310062.1	MpxV/human/USA/WA-UW-089836/2022	2022-08-XX	North America	USA	Washington		Homo sapiens	2022-08-26	SRR21236123	Sereewit et al		IIb	hMPXV-1	B.1	0.9995284190883784	93.0	606.0	0.0	good	good	good	good	good		False	Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	UW Virology, Laboratory Medicine	North America
320	OP392532	OP392532	OP392532.1	MpxV/human/USA/OH-UW-080114/2022	2022-08-XX	North America	USA	Ohio		Homo sapiens	2022-09-08	SRR21524983	Sereewit et al		IIb	hMPXV-1	B.1.3	0.9999797169500376	4.0	610.0	0.0	good	good	good	good	good		False	Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	UW Virology, Laboratory Medicine	North America
321	OP442539	OP442539	OP442539.1	hMPX/Human/USA/CA-LACPHL-MA00078/2022	2022-08-05	North America	USA			Homo sapiens	2022-09-15		Hemarajata et al		IIb	hMPXV-1	B.1	0.9669791946615012	4962.0	582.0	2.0	good	good	good	good	good		False	Hemarajata,P., Green,N.M., Garrigues,J.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	North America
322	OP687938	OP687938	OP687938.1	MPXV_USA_2022_NJ0005	2022-08-XX	North America	USA	New Jersey		Homo sapiens	2022-10-20	SRR21971018	Gigante et al		IIb	hMPXV-1	B.1.9	0.9998681601752456	25.0	609.0	1.0	good	good	good	good	good		False	Gigante,C.M., Acheampong,E., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Morrison,S.S., Seabolt,M.H., Weigand,M.R., Knipe,K., Sheth,M., Burgin,A., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., McDermott,D., Li,Y.	CDC, DHCPP-PRB	North America
323	OP628440	OP628440	OP628440.1	MpxV/human/USA/WA-UW-080994/2022	2022-08-XX	North America	USA	Washington		Homo sapiens	2022-10-13	SRR21887125	Sereewit et al		IIb	hMPXV-1	B.1	0.9999898584750188	2.0	608.0	0.0	good	good	good	good	good		False	Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	UW Virology, Laboratory Medicine	North America
324	OP628472	OP628472	OP628472.1	MpxV/human/USA/WA-UW-087291/2022	2022-08-XX	North America	USA	Washington		Homo sapiens	2022-10-13	SRR21887151	Sereewit et al		IIb	hMPXV-1	B.1	0.9999847877125284	3.0	607.0	0.0	good	good	good	good	good		False	Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	UW Virology, Laboratory Medicine	North America
325	OP539889	OP539889	OP539889.1	MPX/Human/USA/CA-LACPHL-MA00104/2022	2022-08-11	North America	USA			Homo sapiens	2022-09-27		Hemarajata et al		IIb	hMPXV-1	B.1	0.976922959905481	3003.0	592.0	0.0	good	good	good	good	good		False	Hemarajata,P., Green,N.M., Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	North America
326	OP743366	OP743366	OP743366.1	MPXV/Human/USA/UT-UPHL-82200236/2022	2022-08-05	North America	USA			Homo sapiens	2022-10-31		Iverson et al		IIb	hMPXV-1	B.1.7	0.9323458868510058	435.0	554.0	1.0	good	good	good	good	good		False	Iverson,T., Oakeson,K.F., Young,E.L., Wagner,J., Hergert,J.	Utah Public Health Laboratory	North America
327	OP480417	OP480417	OP480417.1	hMPXV/USA/NC-UNC-0018/2022	2022-08-28	North America	USA	North Carolina		Homo sapiens	2022-09-20		Deanhardt et al		IIb	hMPXV-1	B.1.2	0.9758885243574076	3764.0	596.0	0.0	good	good	good	good	good		False	Deanhardt,B., Miller,M., Wang,J.R.	University of North Carolina at Chapel Hill, Department of Genetics	North America
328	OP289782	OP289782	OP289782.1	LIM-INS-001	2022-06-25	South America	Peru			Homo sapiens	2022-08-24		Silva et al		IIb	hMPXV-1	B.1	1.0	0.0	607.0	0.0	good	good	good	good	good		False	Silva,I., Jimenez,V., Hurtado,V., Barcena,L.	Instituto Nacional de Salud Peru, Laboratorio de Biotecnologia y Biologia Molecular	South America
329	OP289783	OP289783	OP289783.1	LIM-INS-003	2022-06-27	South America	Peru			Homo sapiens	2022-08-24		Padilla et al		IIb	hMPXV-1	B.1	1.0	0.0	607.0	0.0	good	good	good	good	good		False	Padilla,C., Silva,I., Hurtado,V., Jimenez,V., Barcena,L., Mestanza,O., Lope,P., Nunez,A.	Instituto Nacional de Salud Peru, Laboratorio de Biotecnologia y Biologia Molecular	South America
330	OP295383	OP295383	OP295383.2	INS-MPXV-0016-H1	2022-07-29	South America	Colombia	Antioquia		Homo sapiens	2022-08-25		Laiton-Donato et al		IIb	hMPXV-1	B.1	0.9499566449807058	6750.0	561.0	0.0	good	good	good	good	good		False	Laiton-Donato,K., Alvarez-Diaz,D.A., Franco-Munoz,C., Ruiz-Moreno,H.A., Rojas-Estevez,P., Rosales,A., Martinez,D., Flores,A.C., Prieto,F., Walteros,D., Gomez,S., Mercado-Reyes,M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	South America
331	OP295382	OP295382	OP295382.2	INS-MPXV-0015-L1	2022-07-21	South America	Colombia	La Guajira		Homo sapiens	2022-08-25		Laiton-Donato et al		IIb	hMPXV-1	B.1.10	0.9600018254744966	4769.0	570.0	0.0	good	good	good	good	good		False	Laiton-Donato,K., Alvarez-Diaz,D.A., Franco-Munoz,C., Ruiz-Moreno,H.A., Rojas-Estevez,P., Rosales,A., Martinez,D., Flores,A.C., Prieto,F., Walteros,D., Gomez,S., Mercado-Reyes,M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	South America
332	OP693649	OP693649	OP693649.1	ANT_INS_MPX_0039_L	2022-07-29	South America	Colombia	Antioquia		Homo sapiens	2022-10-21		Laiton-Donato et al		IIb	hMPXV-1	B.1	0.8619484911946209	27038.0	511.0	0.0	bad	good	good	good	good		False	Laiton-Donato,K., Alvarez-Diaz,D.A., Franco-Munoz,C., Ruiz-Moreno,H.A., Rojas-Estevez,P., Rosales,A., Martinez,D., Flores,A., Prieto,F., Walteros,D., Gomez,S., Mercado-Reyes,M.	Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica	South America
333	OP320554	OP320554	OP320554.1	LIM-INS-016	2022-07-09	South America	Peru			Homo sapiens	2022-08-29		Padilla et al		IIb	hMPXV-1	B.1	1.0	0.0	609.0	0.0	good	good	good	good	good		False	Padilla,C., Silva,I., Hurtado,V., Jimenez,V., Barcena,L., Lope,P., Arotinco,G.	Instituto Nacional de Salud Peru, Laboratorio de Biotecnologia y Biologia Molecular	South America
334	OP320555	OP320555	OP320555.1	LIM-INS-021	2022-07-09	South America	Peru			Homo sapiens	2022-08-29		Padilla et al		IIb	hMPXV-1	B.1	1.0	0.0	607.0	0.0	good	good	good	good	good		False	Padilla,C., Silva,I., Hurtado,V., Jimenez,V., Barcena,L., Lope,P., Arotinco,G.	Instituto Nacional de Salud Peru, Laboratorio de Biotecnologia y Biologia Molecular	South America
335	OP320550	OP320550	OP320550.1	LIM-INS-015	2022-07-09	South America	Peru			Homo sapiens	2022-08-29		Padilla et al		IIb	hMPXV-1	B.1	1.0	0.0	607.0	0.0	good	good	good	good	good		False	Padilla,C., Silva,I., Hurtado,V., Jimenez,V., Barcena,L., Lope,P., Arotinco,G.	Instituto Nacional de Salud Peru, Laboratorio de Biotecnologia y Biologia Molecular	South America
